name,timeout,n,m,density,deg_min,deg_avg,deg_max,deg_var,deg_coeff_of_var,deg_heterogeneity,num_cc,max_cc_n,max_cc_m,max_cc_density,max_cc_radius,max_cc_diameter,max_cc_avg_dist,average_clustering_estimate,num_triangles
pace2023-exact_001,100,19,64,0.3742690058479532,5,6.7368421052631575,8,0.7202216066481993,0.12597277731716483,-0.8997232956624595,1,19,64,0.3742690058479532,2,3,2.8421052631578947,0.3711779448621555,46
pace2023-exact_002,100,20,69,0.3631578947368421,5,6.9,8,0.69,0.12038585308576918,-0.9194245453686277,1,20,69,0.3631578947368421,2,3,2.9,0.36380952380952386,50
pace2023-exact_003,100,25,97,0.3233333333333333,3,7.76,16,9.3024,0.39303912455068557,-0.40556421621302163,1,25,97,0.3233333333333333,2,3,2.48,0.40910811410811404,106
pace2023-exact_004,100,25,181,0.6033333333333334,9,14.48,19,5.929599999999999,0.1681683011627008,-0.7742558630417264,1,25,181,0.6033333333333334,2,2,2.0,0.6201233592688701,524
pace2023-exact_005,100,27,117,0.3333333333333333,4,8.666666666666666,17,9.62962962962963,0.3580574370197165,-0.4460473013452402,1,27,117,0.3333333333333333,2,3,2.4814814814814814,0.4137320800719493,134
pace2023-exact_007,100,28,205,0.5423280423280423,1,14.642857142857142,22,24.22959183673469,0.33616092007844,-0.47345277626474513,1,28,205,0.5423280423280423,2,3,2.3214285714285716,0.6459273345579184,678
pace2023-exact_006,100,28,131,0.34656084656084657,1,9.357142857142858,14,10.729591836734695,0.35006471718467486,-0.45585165931260374,1,28,131,0.34656084656084657,2,3,2.857142857142857,0.4069775462632605,174
pace2023-exact_008,100,28,210,0.5555555555555556,15,15.0,15,0.0,0.0,-inf,1,28,210,0.5555555555555556,2,2,2.0,0.4285714285714287,420
pace2023-exact_009,100,28,228,0.6031746031746031,10,16.285714285714285,24,14.632653061224488,0.23488469892975236,-0.6291452735025725,1,28,228,0.6031746031746031,2,2,2.0,0.6586600750753541,800
pace2023-exact_010,100,28,235,0.6216931216931217,4,16.785714285714285,23,24.45408163265306,0.2946021094582294,-0.5307641477758422,1,28,235,0.6216931216931217,2,3,2.0714285714285716,0.7165851454304765,983
pace2023-exact_011,100,29,174,0.42857142857142855,1,12.0,19,21.103448275862068,0.3828207467443882,-0.4170045339243223,1,29,174,0.42857142857142855,2,3,2.586206896551724,0.5486669608933941,402
pace2023-exact_012,100,29,180,0.4433497536945813,4,12.413793103448276,19,14.3115338882283,0.30474640337561065,-0.5160614112332658,1,29,180,0.4433497536945813,2,3,2.206896551724138,0.5374820315089345,380
pace2023-exact_013,100,30,155,0.3563218390804598,2,10.333333333333334,19,15.622222222222224,0.3824995834266229,-0.41736903349237015,1,30,155,0.3563218390804598,2,3,2.466666666666667,0.4572730863907335,252
